Number of elements 2948
     0 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
     1 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
     2 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
     3 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
     4 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
     5 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
     6 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
     7 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
     8 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
     9 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    10 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    11 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    12 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    13 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    14 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    15 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    16 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    17 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    18 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    19 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    20 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    21 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    22 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    23 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    24 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    25 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    26 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    27 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    28 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    29 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    30 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    31 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    32 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    33 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    34 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    35 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    36 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    37 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    38 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    39 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    40 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    41 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    42 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    43 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    44 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    45 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    46 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    47 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    48 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    49 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    50 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    51 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    52 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    53 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    54 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    55 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    56 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    57 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    58 : -1.9127132e-11  1.3733299e-10 -9.8380131e-11
    59 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    60 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    61 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    62 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    63 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    64 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    65 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    66 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    67 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    68 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    69 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    70 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    71 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    72 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    73 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    74 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    75 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    76 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    77 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    78 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    79 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    80 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    81 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    82 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    83 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    84 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    85 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    86 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    87 :  9.7535771e-01  1.0169329e+00  9.8271455e-01
    88 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    89 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    90 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    91 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    92 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    93 : -6.9090419e-03  6.0131640e-03  9.1954676e-03
    94 :  6.0144386e-02 -2.8057884e-02  9.7376897e-01
    95 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    96 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    97 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    98 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
    99 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   100 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   101 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   102 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   103 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   104 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   105 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   106 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   107 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   108 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   109 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   110 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   111 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   112 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   113 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   114 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   115 : -5.0650335e-10 -4.8464500e-10  4.9069482e-10
   116 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   117 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   118 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   119 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   120 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   121 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   122 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   123 :  5.7732225e-03  8.6330708e-03  9.9245112e-01
   124 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   125 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   126 :  9.8553381e-01  1.0203555e+00  9.7048614e-01
   127 : -4.0465200e-03 -7.9092011e-04  6.4873137e-03
   128 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   129 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   130 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   131 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   132 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   133 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   134 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   135 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   136 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   137 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   138 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   139 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   140 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   141 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   142 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
   143 :  0.0000000e+00  0.0000000e+00  0.0000000e+00
